rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new
11,BYU,MWC,29-6,117.66195758391197,10,94.59062945159164,39,0.9248370611826793,11,29,6,13,3,13-3,0.59529686986081,0.5152713117915846,0.6178836621291868,0.59529686986081,0.5152713117915846,0.6178836621291868,0.7675719462594133,0.8085028955566077,105.27802359540044,100.99795199784488,105.27802359540044,100.99795199784488,114.44567124333864,91.50354808371267,118.85223174506889,102.69324403549278,0.8429771296377891,9,0.02083348767353621,1300.0,1053.0,1143.35,1.137009664582149,0.9209778283115407,0,0.8125,4.089488271330788,16,116,70.30581589194149
12,Texas A&M,B12,23-10,112.27576878161071,42,91.12004393972683,12,0.9169014730680792,12,23,10,11,5,11-5,0.7277193367423902,0.5461829584153247,0.8379047944041661,0.7277193367423902,0.5461829584153247,0.8379047944041661,0.6301550161985428,0.7572300535247828,110.00300586446042,98.3223374606849,110.00300586446042,98.3223374606849,110.74245409491431,90.64824767863101,117.99599571489625,95.3976197553398,0.920185214800418,17,0.03275064023639929,1103.0,1052.0,1056.8,1.0437168811506434,0.9954579863739592,0,0.6875,4.334697884275366,14,87,64.58050310168785
13,California,P10,24-11,120.44693039231147,3,97.83553043285008,80,0.9161458439248995,13,24,11,13,5,13-5,0.7189229040101108,0.6694486741879184,0.7273284399598529,0.7189229040101108,0.6694486741879184,0.7273284399598529,0.6991995045813165,0.7023581255322567,107.27886882117608,97.06153327382296,107.27886882117608,97.06153327382296,118.63042870698081,97.81412026632634,123.58088396714412,105.09911927125334,0.8656355053146728,11,-0.043626703498214514,1370.0,1219.0,1211.275,1.1310396070256548,1.0063775773461847,0,0.7222222222222222,1.7210105866465808,34,268,66.84228121633232
14,Butler,Horz,33-5,109.80346670816243,63,89.55460967332057,7,0.9124721256484098,14,33,5,18,0,18-0,0.6562055799166819,0.7369182397739046,0.5210904156389543,0.6562055799166819,0.7369182397739046,0.5210904156389543,0.7370799884530203,0.6786921620362718,107.39634093602605,99.59138813182959,107.39634093602605,99.59138813182959,109.58459252996933,92.24028285573084,130.40350308451258,103.29001390778964,0.9358701824666338,11,0.11002046982708691,1296.0,1058.0,1154.7875000000001,1.122284402974573,0.9161858783542426,0,1.0,4.644664469768858,13,8,62.86145620764408
15,Maryland,ACC,23-9,118.29632552140932,7,96.72335790083042,66,0.9101431906360538,15,23,9,13,3,13-3,0.6838414492187456,0.4553314696936436,0.8399500800327864,0.6838414492187456,0.4553314696936436,0.8399500800327864,0.687035774198902,0.846499886218762,106.97053511483125,97.89958501494237,106.97053511483125,97.89958501494237,122.15617961360697,94.76805285390928,125.49817399733459,104.41189873038937,0.8923907054334149,14,0.013609325817861007,1247.0,1127.0,1119.7375,1.1136538697685843,1.0064858951316715,0,0.8125,3.322370264883085,23,137,68.77980277302424
16,Georgetown,BE,23-11,116.7517388187667,15,95.86811973384215,56,0.9060538844987064,16,23,11,10,8,10-8,0.7404585732677708,0.5896906619287396,0.8018240677775911,0.7404585732677708,0.5896906619287396,0.8018240677775911,0.6473185816060825,0.7568586415860014,109.6273158891892,97.25382561928278,109.6273158891892,97.25382561928278,114.35100162006903,95.88188314961697,125.2146650101953,100.00351412821917,0.9299211632964121,16,0.017866984663229446,1305.0,1241.0,1194.2124999999999,1.0927703402870093,1.0391785381579912,0,0.5555555555555556,4.261127933742547,15,123,65.16136935927831
17,Clemson,ACC,21-11,111.41007305306967,49,91.52930878457732,16,0.9055458061996747,17,21,11,9,7,9-7,0.6840563289215976,0.47155785356216123,0.8505787463715162,0.6840563289215976,0.47155785356216123,0.8505787463715162,0.6894969811856018,0.8557923622916775,106.77676931530779,97.52883323677698,106.77676931530779,97.52883323677698,108.98886243936387,87.92291268031572,115.69001107559183,98.80548796155982,0.8598751247178404,14,-0.04248829574744328,1093.0,1058.0,1103.6875,0.9903165524661646,0.9586046775015573,0,0.5625,1.5104427696563592,37,264,67.97024421962055
18,Xavier,A10,26-9,116.6190492533074,16,95.84117195530902,55,0.9052125801682069,18,26,9,14,2,14-2,0.6754521111717872,0.6539014795404637,0.6273439971677364,0.6754521111717872,0.6539014795404637,0.6273439971677364,0.7036211086986457,0.6933608422492663,106.63461156299009,98.07959593955711,106.63461156299009,98.07959593955711,115.22378260419919,95.34006663818086,117.0767019500335,99.46260876563842,0.8670411048747435,13,0.030501571042481412,1293.0,1090.0,1148.9625,1.1253630993178627,0.9486819630753831,0,0.875,2.8855275887315566,25,96,68.32898443244669
19,Temple,A10,29-6,108.24606979312556,85,88.98718966547999,4,0.9049105712955077,19,29,6,14,2,14-2,0.6462450725070145,0.6269193862863222,0.6326660007103014,0.6462450725070145,0.6269193862863222,0.6326660007103014,0.7578944518243779,0.7472654588628569,106.8310779829657,100.004198826009,106.8310779829657,100.004198826009,109.02491925053914,89.8406563089461,116.16682844673802,102.31085645369939,0.8116294326258074,10,0.06272378716206228,1081.0,928.0,1009.9499999999999,1.0703500173275906,0.918857369176692,0,0.875,5.436115269995338,11,44,60.01409411758883
20,Villanova,BE,25-8,117.46650949631024,11,96.59856852296085,65,0.9045881925965594,20,25,8,13,5,13-5,0.7016554195675357,0.5145564727107227,0.819303387851099,0.7016554195675357,0.5145564727107227,0.819303387851099,0.6732321182679544,0.8040130017583654,108.91219615149292,98.79025954515701,108.91219615149292,98.79025954515701,119.98629733676641,95.40445582098417,128.74526152561938,104.14771906836542,0.9197011059191025,16,0.07643845845746544,1469.0,1361.0,1298.3125,1.1314687334520772,1.0482838299715977,0,0.7222222222222222,5.492471195467184,10,25,70.7961022883292
21,Missouri,B12,23-11,112.13582015530645,43,92.27488134293539,22,0.9039405926705831,21,23,11,10,6,10-6,0.6659287371567311,0.4418437314145441,0.8407944212967222,0.6659287371567311,0.4418437314145441,0.8407944212967222,0.6878888194935056,0.8440787208265867,107.34758732725416,99.00506824907438,107.34758732725416,99.00506824907438,109.63049099334258,88.56943506613484,121.7297611151792,101.9132374261479,0.8852728586740797,13,-0.017849891467587198,1170.0,1109.0,1136.5500000000002,1.0294311732875807,0.9757599753640401,0,0.625,1.607846714365976,36,213,69.10655455295287
22,Texas,B12,24-10,114.07538830717681,29,94.00089761741633,35,0.9025500113472553,22,24,10,9,7,9-7,0.6989596391923691,0.5185814075030644,0.8397453908353218,0.6989596391923691,0.5185814075030644,0.8397453908353218,0.6804644987652979,0.831882765443341,107.8858930911272,98.12264041339736,107.8858930911272,98.12264041339736,113.20800551863427,94.1928118489273,119.90657244401484,101.51186639556391,0.8715996974319468,13,0.021349340973516262,1240.0,1191.0,1159.825,1.0691268079236091,1.0268790550298537,0,0.5625,3.8320607688953454,20,114,71.21735296955823
23,Michigan St.,B10,28-9,113.51420946342361,32,93.73900248005832,31,0.9003623530604725,23,28,9,14,4,14-4,0.6979684768786821,0.5164416904726813,0.7756768142437404,0.6979684768786821,0.5164416904726813,0.7756768142437404,0.6901239387557827,0.8214056959724247,108.04967664326574,98.4966207533755,108.04967664326574,98.4966207533755,110.38590971462234,90.69866946567404,117.03774279236048,98.99797751988463,0.8727023024631654,15,0.06652561310013572,1194.0,1103.0,1139.9249999999997,1.047437331403382,0.9676075180384677,0,0.7777777777777778,3.5083320146107893,22,40,65.28079224880585
24,Utah St.,WAC,26-8,116.25521810436075,17,96.14102552324094,59,0.8988649193727173,24,26,8,14,2,14-2,0.545568070925878,0.5129282099198311,0.5404443273644792,0.545568070925878,0.5129282099198311,0.5404443273644792,0.8372470097706841,0.8391184921250207,104.78884797535704,103.14258051267531,104.78884797535704,103.14258051267531,115.07724492071804,94.10911251678918,131.16298275455543,117.20623084580726,0.7847922193340507,2,-0.07055561942048083,1170.0,943.0,989.2624999999999,1.1826992330144932,0.9532353647287752,0,0.875,-0.200673544039346,55,314,60.27588382503479
25,Minnesota,B10,21-14,114.47027632448969,25,94.74564060482422,41,0.897970263161496,25,21,14,9,9,9-9,0.6783398433115215,0.4805428521832152,0.7558634671408223,0.6783398433115215,0.4805428521832152,0.7558634671408223,0.6901789490625926,0.8264796045295673,108.04773302527286,99.0653885216904,108.04773302527286,99.0653885216904,114.06616873656029,98.61164536397229,120.45252823128835,98.53842401440826,0.909644771995314,15,-0.08610985049047504,1232.0,1214.0,1147.875,1.0732875966459763,1.05760644669498,0,0.5,-0.3548678049893908,57,331,65.63418025816286
26,Marquette,BE,22-12,115.38840614354952,22,95.52540609665832,50,0.8977511930094652,26,22,12,11,7,11-7,0.6821975047531572,0.4556510362457662,0.7886882968177791,0.6821975047531572,0.4556510362457662,0.7886882968177791,0.679231677565459,0.8059732898339886,108.21516944640939,99.44326990152736,108.21516944640939,99.44326990152736,114.44607439864396,93.19224689906684,118.53856718907417,99.93903427496271,0.8768353660132222,17,-0.027604323434955114,1269.0,1180.0,1157.1875,1.0966243586281395,1.0197137456116663,0,0.6111111111111112,1.7165692329362714,35,233,62.5428885634592
27,Northern Iowa,MVC,30-5,109.48269434611157,66,90.74783611273432,9,0.8964456859122409,27,30,5,15,3,15-3,0.6262096728987536,0.5032317685504958,0.6435342122824014,0.6262096728987536,0.5032317685504958,0.6435342122824014,0.7832039330279416,0.8523870868781441,106.45933870625585,100.9899422656967,106.45933870625585,100.9899422656967,104.95921158479338,87.78681596452826,113.01728415454627,94.36541139341108,0.8883712278032848,4,0.08000271825759742,1098.0,966.0,1062.375,1.0335333568655136,0.9092834451111895,0,0.8333333333333334,3.8885191889293367,18,21,58.713439112714994
28,Washington,P10,26-10,113.0209661293831,38,93.73701144022667,30,0.8958016448562529,28,26,10,11,7,11-7,0.6882250370628403,0.5602464695081468,0.729645536996324,0.6882250370628403,0.5602464695081468,0.729645536996324,0.7377096038075941,0.8333986416199974,107.62771106165754,99.02833596636866,107.62771106165754,99.02833596636866,111.92024913953333,95.87143278276861,121.75328363895133,104.6436586711602,0.8508790951129241,10,-0.007612837558405694,1375.0,1272.0,1285.4625,1.0696539183367852,0.9895271157268297,0,0.6111111111111112,1.201433855469753,40,183,71.6833158208707
29,Oklahoma St.,B12,22-11,114.37657845495642,26,95.0598443119263,46,0.8935361635545498,29,22,11,9,7,9-7,0.6781230343033243,0.4563112022715918,0.840898075578621,0.6781230343033243,0.4563112022715918,0.840898075578621,0.6928586218889315,0.8791740787355519,107.5081228370111,98.78019388181917,107.5081228370111,98.78019388181917,114.96159926225349,93.17318822715741,121.85046624777694,103.54607704684726,0.8666832732984135,11,-0.014744513349354116,1188.0,1153.0,1118.05,1.0625642860337194,1.0312597826573051,0,0.5625,1.794806266860884,33,199,66.04015717021149
30,Notre Dame,BE,23-12,120.27507988601705,5,100.40330446698007,125,0.8886220684640567,30,23,12,10,8,10-8,0.6559809559528224,0.38339575527283176,0.8041203135691758,0.6559809559528224,0.38339575527283176,0.8041203135691758,0.7247621783269907,0.9266340796987879,107.3423575643714,99.89488336475333,107.3423575643714,99.89488336475333,121.86756531372745,100.91863787044896,128.0705321103965,103.93706037101873,0.9169149239745354,13,-0.0484642661105229,1327.0,1290.0,1168.75,1.1354010695187167,1.1037433155080214,0,0.5555555555555556,0.4450192496881778,45,281,63.1484676424421
31,Georgia Tech,ACC,22-13,109.80681146127966,62,91.67288607979378,17,0.8885191066864117,31,22,13,7,9,7-9,0.7220590805398783,0.4949397137283685,0.84773159108222,0.7220590805398783,0.4949397137283685,0.84773159108222,0.6552763485402107,0.8417796144932693,107.62680234596016,96.74225623318158,107.62680234596016,96.74225623318158,111.05276845977501,93.57409772109335,122.57659295723938,104.01736667554381,0.8685329670955791,14,-0.0051956259318942655,1132.0,1146.0,1130.1625,1.0016258723856084,1.0140134715140523,0,0.4375,1.3513160518576222,39,178,68.12065919282473
32,Florida St.,ACC,22-10,104.5136840408841,144,87.28615215958015,2,0.8880972552631851,32,22,10,10,6,10-6,0.6857238082777596,0.4851854249607626,0.8438438482149326,0.6857238082777596,0.4851854249607626,0.8438438482149326,0.6843533272032523,0.8059800556245558,107.54132554983367,98.7330032634924,107.54132554983367,98.7330032634924,105.46233336353322,87.38107614692437,106.0154944930284,94.07114023446738,0.7981288511004704,13,0.0241018343730256,1038.0,1012.0,1061.4375,0.9779190955661544,0.9534240122475417,0,0.625,2.804174385001841,26,109,65.60746445730506
33,Tennessee,SEC,28-9,109.47021949970177,67,91.5035609726984,15,0.8871203583977297,33,28,9,11,5,11-5,0.694600313919305,0.527550015165846,0.7890483986736092,0.694600313919305,0.527550015165846,0.7890483986736092,0.6919980046387791,0.8012141427341619,108.0131364296426,98.42031126828573,108.0131364296426,98.42031126828573,105.81739515368366,89.80342577807981,113.89756532898102,94.94621647316933,0.8902084828514913,14,0.08742347382173432,1109.0,1060.0,1100.825,1.0074262484954466,0.9629141780028615,0,0.6875,3.892262524648128,17,19,67.51973757952288
34,UNLV,MWC,24-9,111.55184048101032,47,93.30257625504069,27,0.886389400245841,34,24,9,11,5,11-5,0.6121934511858049,0.5398913842992944,0.6228097275740336,0.6121934511858049,0.5398913842992944,0.6228097275740336,0.7715731780722782,0.8380281688341508,105.68511983968413,100.12069218049024,105.68511983968413,100.12069218049024,112.6505252267924,92.5626619466375,122.20317795516533,99.73281540084119,0.9118703115588389,8,-0.023482425113159455,1161.0,1008.0,1059.325,1.0959809312533924,0.9515493356618601,0,0.6875,1.0162697833255971,43,227,66.18144574441234
35,UTEP,CUSA,26-7,108.39354072092507,82,90.85489185730225,10,0.8838911595119681,35,26,7,15,1,15-1,0.5790772249108034,0.4565501176120882,0.6421335541601705,0.5790772249108034,0.4565501176120882,0.6421335541601705,0.7915581296706162,0.8391940677944775,104.42110960379486,101.32303817218146,104.42110960379486,101.32303817218146,104.3647114481523,87.56813502197848,115.69107200144754,100.4445056889345,0.8355052316916225,5,0.020161947655784607,1143.0,991.0,1102.3375,1.0368875231043124,0.8989987186319979,0,0.9375,2.266225265744996,29,118,67.79950333369027
36,Pittsburgh,BE,25-9,111.78109120897096,46,93.72164229491253,29,0.883546586249439,36,25,9,13,5,13-5,0.6916661752619749,0.5060923679655942,0.8091743312131788,0.6916661752619749,0.5060923679655942,0.8091743312131788,0.7023317776434462,0.8667361566859365,108.79991141648078,99.2486122077272,108.79991141648078,99.2486122077272,115.03629182332926,95.2175985400232,119.50428710822607,101.75459018439628,0.8640173528634393,14,0.06100780487674351,1261.0,1186.0,1147.0375,1.099353770038033,1.033967939147587,0,0.7222222222222222,3.6800802297606507,21,46,60.87543163739502
37,Dayton,A10,25-12,107.21418551418239,103,90.28674172823884,8,0.8782686906300784,37,25,12,8,8,8-8,0.6559302811685113,0.5987999203586447,0.652826319168173,0.6559302811685113,0.5987999203586447,0.652826319168173,0.7377440495139247,0.7575528421817023,106.43391369593033,99.16721436397424,106.43391369593033,99.16721436397424,104.86088493358878,89.96707185268554,109.74619197964931,88.75995727928046,0.9198786559681489,11,-0.02755007264184517,1118.0,997.0,1092.4374999999998,1.023399507981006,0.9126380227701816,0,0.5,-2.014100725027554,73,232,65.14195413657713
38,Gonzaga,WCC,26-7,112.41824621772102,41,94.97310848942035,42,0.8742723029915392,38,26,7,12,2,12-2,0.5881791172077638,0.6101055965421326,0.502613666830803,0.5881791172077638,0.6101055965421326,0.502613666830803,0.7573394606203109,0.7191664827381904,106.20592935242266,101.37086711275187,106.20592935242266,101.37086711275187,113.58616059762315,95.30823666677112,110.26570671268776,90.92925392896758,0.9017948794442071,9,0.06554404343894571,1101.0,931.0,961.525,1.145056030784431,0.9682535555497778,0,0.8571428571428571,2.570779653993901,28,41,67.7975153008422
39,Old Dominion,CAA,27-9,108.07174333422125,88,91.31404676456134,13,0.8740929389259102,39,27,9,15,3,15-3,0.5726882718494134,0.6240648141397434,0.4944802751814587,0.5726882718494134,0.6240648141397434,0.4944802751814587,0.7778074414593403,0.7044156754396584,105.51574370818524,101.55627504197685,105.51574370818524,101.55627504197685,106.19900327677114,92.15649397964788,104.43895692512059,93.24646223323185,0.7864404566596511,9,0.006818818494087164,1210.0,1037.0,1126.575,1.0740518829194683,0.9204890930475113,0,0.8333333333333334,0.7591938964465642,44,154,62.06406463576296
40,Vanderbilt,SEC,23-9,114.08038770681785,27,96.50451815501931,63,0.8725955588389894,40,23,9,12,4,12-4,0.7072980558602633,0.5821445749164076,0.7907145972731798,0.7072980558602633,0.5821445749164076,0.7907145972731798,0.7094732591665474,0.8081920489789745,108.07788805097631,98.48036728405364,108.07788805097631,98.48036728405364,116.98734810343795,98.62082893917051,116.87251446434394,97.13196342475075,0.8935619005231763,11,0.05671298749204157,1248.0,1188.0,1130.025,1.1044003451251077,1.0513041746864007,0,0.75,3.2597310382867,24,52,68.09027291402609
41,Mississippi St.,SEC,24-12,110.65116513966458,55,93.98487593517504,34,0.8673076302720172,41,24,12,9,7,9-7,0.6377953211553515,0.48310136789154634,0.756291593810863,0.6377953211553515,0.48310136789154634,0.756291593810863,0.7508292426607469,0.8496835571933559,105.95010277829508,99.9272975517108,105.95010277829508,99.9272975517108,106.85410155776736,94.36942070556665,117.57272760924079,98.99593312254903,0.8784411922055484,11,-0.03283821811604615,1134.0,1119.0,1115.5500000000002,1.016538926986688,1.0030926448836894,0,0.5625,0.14391641871349475,49,245,66.24727502017559
42,Saint Mary's,WCC,27-6,115.86974005550184,19,98.62316488055906,92,0.8645193969437213,42,27,6,11,3,11-3,0.5761832259834069,0.5487544569081312,0.504029432784138,0.5761832259834069,0.5487544569081312,0.504029432784138,0.7914856958653789,0.8173658240814434,105.7543867580206,102.13241176818751,105.7543867580206,102.13241176818751,113.80700575214209,98.70968061753155,114.70448990292346,97.30349492002955,0.8689867023907536,6,0.07498837719745188,1074.0,946.0,945.0374999999998,1.1364628387762392,1.001018478102721,0,0.7857142857142857,2.032086719843983,31,27,66.07845060544146
43,Arizona St.,P10,22-11,110.90278170804712,53,94.4551604926169,38,0.8636662627567032,43,22,11,12,6,12-6,0.6341760103624481,0.5080959463391103,0.7332825221194399,0.6341760103624481,0.5080959463391103,0.7332825221194399,0.7528090543420324,0.7900028841337795,105.50884149505325,98.71259615325172,105.50884149505325,98.71259615325172,108.99475126527933,92.40604066265766,115.84935695152154,103.80104101914019,0.7795196041420885,8,-0.03535065248881086,1160.0,1092.0,1121.175,1.0346288491983857,0.973978192521239,0,0.6666666666666666,0.09389327510165468,50,249,60.90163537582857
44,San Diego St.,MWC,23-9,111.45131296116563,48,95.31411440589073,49,0.8579923509335275,44,23,9,11,5,11-5,0.6203736788083655,0.5548939540993388,0.6264190357867179,0.6203736788083655,0.5548939540993388,0.6264190357867179,0.7524479767922424,0.792559921634087,105.67881438894882,99.69225364994722,105.67881438894882,99.69225364994722,111.88595293827841,94.54378364619171,109.81112693930588,96.00396899065419,0.8242312279756077,10,0.028033368712068296,1138.0,1020.0,1044.3125,1.0897121311867857,0.976719133401161,0,0.6875,1.437784210144296,38,104,62.686228506751476
45,New Mexico,MWC,30-5,114.84410041981113,23,98.47214700194556,88,0.8542985390801912,45,30,5,14,2,14-2,0.6068705048213133,0.5674214614360675,0.6268868318546282,0.6068705048213133,0.5674214614360675,0.6268868318546282,0.7814804380099357,0.8299803439108278,105.6191821083,100.31409381723468,105.6191821083,100.31409381723468,112.42643865275706,95.76339342718367,134.55899527767178,112.03710554567125,0.8915318958500605,9,0.13855449576231393,1176.0,1063.0,1083.225,1.0856470262410858,0.9813289021209814,0,0.875,4.99631069294399,12,3,66.88146119821987
46,Virginia Tech,ACC,25-9,108.36745448970439,83,92.95745512715953,26,0.8537021507525961,46,25,9,10,6,10-6,0.6260647591082134,0.3928280348665944,0.8183823105040187,0.6260647591082134,0.3928280348665944,0.8183823105040187,0.7450206069001165,0.8728000080936364,106.04354595528926,100.50464622057598,106.04354595528926,100.50464622057598,108.5228672313633,91.65617928551713,112.92975545485274,100.40595534022923,0.7944174483726324,8,0.05761557715640875,1155.0,1133.0,1144.5874999999999,1.0090971638253958,0.9898762654668167,0,0.625,2.264191756089256,30,50,66.6189090500504
47,Louisville,BE,20-13,114.83872704335201,24,98.58984967770247,90,0.8525126043427902,47,20,13,11,7,11-7,0.6995326645696612,0.5119918613311776,0.8177885094368321,0.6995326645696612,0.5119918613311776,0.8177885094368321,0.6876130143419993,0.8308210468154928,108.63467398595826,98.58351930026093,108.63467398595826,98.58351930026093,116.76314793856348,98.10839486421199,115.2871637347516,101.90062531251483,0.8052478154170112,14,-0.010112513320100436,1322.0,1275.0,1196.7250000000001,1.1046815266665273,1.06540767511333,0,0.6111111111111112,-0.10563064711326431,54,189,65.82842144935849
48,Richmond,A10,26-9,109.09153090009731,71,93.91939652262613,33,0.848402838759607,48,26,9,13,3,13-3,0.6312881744553694,0.5672022308967813,0.6527611267227357,0.6312881744553694,0.5672022308967813,0.6527611267227357,0.7476386166352834,0.7673539295093107,105.77719289650645,99.83817194951897,105.77719289650645,99.83817194951897,110.06231810091771,92.82755097323479,117.50156340774015,96.74574361997323,0.9033663342816843,11,0.07318667608733131,1117.0,993.0,1050.2875000000001,1.0635183223641145,0.9454554110184115,0,0.8125,2.7152878663345086,27,31,62.280677204122505
