RK,Team,Conf,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFGD_O,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB
65,Kansas St.,B12,28,107.6155,96.320,.781065,50.1203,4615,21.3350,16.7202,33.352,31.6294,37.662,31.8156,52.2108,45.828,31.5294,30.932,41.567,37.8206,67.4211,0.259
66,North Texas,Amer,25,108.9125,97.526,.780566,50.2199,46.424,18.7287,20.239,34.332,32.7320,28.6294,39.1310,47.1296,45.726,36.738,31.864,38.9138,36.9163,61.2361,-4.6122
67,UCF,B12,27,105.8188,94.912,.778367,47.6284,46.829,17.7214,20.728,32.763,26.884,36.979,38.9307,47.5284,45.419,31.9267,32.8113,36.7195,38.2220,69.298,-2.290
68,Texas A&M,SEC,28,112.669,101.276,.774868,44.4353,49.7132,14.426,17176,421,28.8168,3852,31.4142,47.1296,48.7100,26.7360,34190,38.3149,43.4342,65.5303,-1.374
69,Richmond,A10,28,108.0150,97.322,.769069,53.355,4615,12.41,17.1168,17.2362,26.884,27.5321,26.531,52.1110,45.828,36.933,30.828,35.9220,40.8291,67.1227,0.457
70,James Madison,SB,30,111.983,101.074,.763670,54.237,46.829,14.736,20.140,31.888,27.4107,34.1143,35.3248,54.634,48.9113,35.779,28.53,38.2153,35.297,70.553,1.637
71,Syracuse,ACC,28,112.179,101.378,.761871,50.9161,52.8296,15.680,20.630,24.4311,31.8300,33.8149,2624,51.6132,53.1291,33219,34.8244,34269,37.2183,70.945,0.651
72,San Francisco,WCC,29,110.996,100.258,.761472,55.618,49.6125,17.2178,20.434,30.3124,23.917,24.5353,39.1310,57.88,48.8107,34.8126,33.9184,39.9111,37.7204,67.5205,-1.271
73,Georgia,SEC,28,112.473,101.784,.761173,50.3192,50.3167,16.4130,16.6213,27.4235,30223,39.924,29.7100,49.8197,50.1160,34.1167,33.6161,40.399,38.4229,68.8125,-2.493
74,UNLV,MWC,25,113.163,102.4101,.758574,51.8130,50.3167,15.680,18.2104,29.3156,31.3282,32.9175,31.5148,5378,51.6231,33.1213,32.281,34.5256,38.2220,65.3310,-1.783
75,Louisiana Tech,CUSA,26,109.4113,99.146,.757175,51159,45.68,19.4313,17.8125,3439,28.3145,43.39,31134,49.3220,42.81,3666,33.6161,36216,35.6111,65.5302,-2.391
76,LSU,SEC,28,111.784,101.480,.754176,52.686,49.2105,18.6276,18.586,30.4121,32306,38.151,31.9159,51.8121,47.973,3666,34190,37.3182,41.6310,7063,-1.987
77,Florida St.,ACC,28,110.7100,100.567,.751677,50.7170,51.5239,16.8155,20.927,28.6192,32306,36.781,43342,52114,50.4176,31.9267,35.5284,31.4309,38.6236,7135,-2.492
78,North Carolina St.,ACC,28,112.178,101.990,.751178,50.2199,50.2163,13.78,18.875,28.7182,28.9171,31.1232,34.8237,49.7202,48.8107,34172,35.2266,34.4259,3591,68.7132,-1.478
79,Miami FL,ACC,29,112.671,102.399,.750479,53.648,50.9198,17.3188,16.7202,28.2211,27.8121,25.9343,22.25,52.1110,52.1256,37.129,33123,40.890,45.8355,69.1102,-399
80,Princeton,Ivy,23,114.549,104.3135,.745180,54.335,50.4175,12.41,16.9185,23.5329,25.236,29291,23.29,56.715,50.6184,34.7135,33.4146,512,38.9245,64.5334,229
81,Massachusetts,A10,28,112.670,102.7109,.743281,51.3147,48.674,16.2114,19.256,36.615,29.7205,35.5111,38.5303,53.468,46.844,31.6288,34.3213,34.7253,38.7239,68.9117,-3.9115
82,Yale,Ivy,25,111.686,101.887,.742282,52116,50.1154,14.115,15.8267,28.7182,23.29,27.8311,29.184,52.3102,49.3127,34.3151,34.1201,35.3237,41294,65.3312,-1.580
83,St. Bonaventure,A10,28,112.572,102.7108,.741083,53.162,50.5179,16.4130,19.546,30.2129,27.5108,31.8209,34.6232,51.5136,52.2261,37.228,3273,36.6198,40.8291,66.2270,-2.495
84,Samford,SC,28,113.857,103.9131,.740684,57.15,50.6184,18.1242,22.212,30.7114,32.3312,34.9124,36.1264,55.224,49.6142,39.94,34.7236,40.793,39.9271,72.911,0.162
85,UC Irvine,BW,28,108.0149,98.739,.738185,51.7133,45.811,17.4196,17.9121,30.8111,27.7116,34.9124,35.3248,51.3142,44.19,35.399,33.1128,27.7352,30.418,69112,-1.782
86,VCU,A10,28,108.3133,99.045,.737586,52.1109,45.68,18.2256,16.2239,28.7182,26.778,35.8107,35242,50.6163,4631,3666,29.913,43.245,36.7150,65.8293,-1.885
87,Grand Canyon,WAC,28,111.292,101.785,.735887,52.2105,4615,18.1242,1964,35.126,28.2140,44.57,34.2220,52.499,44.812,34.5140,32.389,35.5227,32.944,68.5144,1.144
88,McNeese St.,Slnd,24,110.7101,101.277,.735688,54.139,47.849,14.115,236,31107,29.9217,39.331,33.2198,52.1110,45.419,38.79,33.7170,33.8274,47.9362,65.9289,0.848
89,Memphis,Amer,29,112.475,103.2119,.727789,52.968,49.3113,18.6276,19.256,32.959,33.5336,37.662,30.2116,53.754,48.183,34.5140,33.8177,38.9138,42.9338,72.121,0.653
90,Rutgers,B10,28,100.4281,92.23,.727790,44.2355,46.526,16.4130,21.617,30.5119,31.2277,33169,33.6209,44.2349,45.726,29.5338,31.864,31314,39.3259,68.1168,-1.477
91,Penn St.,B10,29,110.897,101.992,.723991,50.8168,51.1213,15.470,21.123,26.4265,32.9324,34.9124,35.9260,51.5136,53.3302,33.1213,31.140,39.2131,32.638,70.550,-3.9114
